"depto_cod","departamento","Enero","Febrero","Marzo","Abril","Mayo","Total_Ventas"
"05-13","PARCHES DE BICICLETA","5.00","2.00","1.00","0","1.00","9.00"
"09-19","COLADORES","0","9.00","0","0","0","9.00"
"51-06","AURICULARES","3.00","1.00","2.00","1.00","1.00","8.00"
"03-15","MANTECOL","7.00","0","0","1.00","0","8.00"
"09-64","LONCHERA","0","0","0","0","8.00","8.00"
"05-16","PLANTILLAS","7.00","1.00","0","0","0","8.00"
"04-45","LIMPIAVIDRIOS","2.00","1.00","0","5.00","0","8.00"
"51-08","CALOVENTORES","0","0","0","0","8.00","8.00"
"16-05","SACAPUNTAS","0","3.00","3.00","0","2.00","8.00"
"04-40","APARATOS PARA INSECTICIDA","1.00","5.00","1.00","1.00","0","8.00"
"25-65","MILANESAS CONGELADAS","4.00","2.00","0","1.70","0","7.70"
"20-20","SONAJEROS","0","2.00","1.00","1.00","3.00","7.00"
"06-15","ROSCAS","0","0","0","7.00","0","7.00"
"90-16","PANTALONES JEANS","0","0","0","1.00","5.00","6.00"
"09-47","PANQUEQUERA","5.00","0","1.00","0","0","6.00"
"51-01","BELLEZA","0","3.00","1.00","2.00","0","6.00"
"90-15","DELANTALES","0","3.00","3.00","0","0","6.00"
"09-26","MAMADERA","0","6.00","0","0","0","6.00"
"87-02","JUGUITOS CONGELADOS","6.00","0","0","0","0","6.00"
"16-04","GOMAS","0","2.00","2.00","0","1.00","5.00"
"20-11","MONO PATIN","4.00","0","1.00","0","0","5.00"
"16-15","BANDITAS ELASTICAS","0","0","2.00","2.00","1.00","5.00"
"20-25","COMPRAS/LIMPIEZA","1.00","0","1.00","3.00","0","5.00"
"09-42","SORBITOS","0","4.00","0","0","0","4.00"
"15-17","TEQUILA","2.00","0","1.00","0","1.00","4.00"
"09-62","CANASTO","4.00","0","0","0","0","4.00"
"09-17","PAVAS / CAFETERAS","0","4.00","0","0","0","4.00"
"09-60","SET TAZA C/PLATO","2.00","2.00","0","0","0","4.00"
"20-24","BANCOS/SILLONES","4.00","0","0","0","0","4.00"
"51-07","RELOJES","0","0","2.00","2.00","0","4.00"
"15-07","GINEBRA","2.00","0","0","1.00","1.00","4.00"
"16-36","REGLA","0","0","4.00","0","0","4.00"
"09-57","RALLADOR C/BASE","0","0","4.00","0","0","4.00"
"04-47","AROMATIZANTES","1.00","0","2.00","1.00","0","4.00"
"09-10","JABONERAS","0","3.00","1.00","0","0","4.00"
"20-22","MUSICA","2.00","0","0","1.00","1.00","4.00"
